Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Commercial Director ( Construction),HCCD Construction,"Cairo, Egypt",5 hours ago,Full Time,Senior Management · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Business Development · Sales/Retail· Commercial· Leadership· MBA· Marketing· Market Research· Business Administration· Finance,
Graphic Designer,Confidential,"Alexandria, Egypt",5 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · females_only · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing· Adobe illustrator· Adobe Photoshop· Designer· Graphic· graphic designer· Design,
UI UX Developer,SATA Group,"Nasr City, Cairo, Egypt",5 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development· UI/UX· Computer Science· Information Technology (IT),
Sr. Sales & Market Development (Corporate ),Menaitech,"Cairo, Egypt",5 hours ago,Full Time,Experienced · 5 - 10 Yrs of Exp · IT/Software Development· Business Development· Sales· Software· sales skills· English,
Quran Supervisor at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Education/Teaching· Quran· Teaching,
French Supervisor at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Education/Teaching· french· Teaching,
Admin Assistant,Bedaya Packing,"Nasr City, Cairo, Egypt",5 hours ago,Full Time,Experienced · 7 - 10 Yrs of Exp · Administration · Human Resources· Administration· Secretary· Office Management· Administrative· English· Admin· Human Resources,
Cashier,Ghandour,"New Cairo, Cairo, Egypt",5 hours ago,Full Time,Entry Level · 1+ Yrs of Exp · Hospitality/Hotels/Food Services · Sales/Retail· fruits· vegetables· cashier,
KG English Teacher,Bloom Language School,"Haram, Giza, Egypt",5 hours ago,Full Time,Experienced · 0 - 2 Yrs of Exp · Education/Teaching· english language· English Teaching· Teaching· Language School· Creative,
Senior Marketing Communications Executive,Premier Services and Recruitment Overseas,"Sheraton, Cairo, Egypt",5 hours ago,Full Time,Experienced · 4 - 7 Yrs of Exp · Marketing/PR/Advertising· Advertising· AUC· GUC· BUE· MSA· Marketing,
Senior Payroll & Personnel Officer,Bingo Global,"New Nozha, Cairo, Egypt",5 hours ago,Full Time,Experienced · 4 - 6 Yrs of Exp · Human Resources· Human Resources (HR)· Microsoft Excel· Communication skills· Personnel· Payroll· Labor Law,
Recruitment Supervisor,Nasps,"Katameya, Cairo, Egypt",5 hours ago,Full Time,Experienced · 5 - 7 Yrs of Exp · Human Resources· Human Resources (HR)· Recruitment· Selection· Talent acquisition· employment,
Corporate Content Creator,Premier Services and Recruitment Overseas,"Sheraton, Cairo, Egypt",5 hours ago,Full Time,Experienced · 5+ Yrs of Exp · Marketing/PR/Advertising· Content· Marketing· media· Social Media,
IT Infrastructure Consultant,Ritsol Allied,"Mohandessin, Giza, Egypt",5 hours ago,Full Time,Manager · 5 - 7 Yrs of Exp · IT/Software Development· Information Technology (IT)· firewalls· Network· Security,
Call Center Agent,Wham Clinics,"Sidi Bishr, Alexandria, Egypt",5 hours ago,Full Time - Shift Based,Entry Level · 1+ Yrs of Exp · females_only · Customer Service/Support· Customer Service· Customer Care· Call Center· Customer Support· Communication Skills· CRM· CRM Systems,
